Date,Laid_Off_Count
2020-03-12,20.0
2020-03-13,14.0
2020-03-16,146.0
2020-03-18,4.0
2020-03-19,50.0
2020-03-20,814.0
2020-03-23,702.0
2020-03-24,567.0
2020-03-25,500.0
2020-03-26,424.0
2020-03-27,1749.0
2020-03-28,250.0
2020-03-29,417.0
2020-03-30,636.0
2020-03-31,948.0
2020-04-01,429.0
2020-04-02,1819.0
2020-04-03,1160.0
2020-04-04,50.0
2020-04-05,40.0
2020-04-06,375.0
2020-04-07,2626.0
2020-04-08,1219.0
2020-04-09,1575.0
2020-04-10,77.0
2020-04-13,3037.0
2020-04-14,469.0
2020-04-15,1416.0
2020-04-16,255.0
2020-04-17,517.0
2020-04-20,637.0
2020-04-21,811.0
2020-04-22,1065.0
2020-04-23,337.0
2020-04-24,165.0
2020-04-25,30.0
2020-04-27,280.0
2020-04-28,1429.0
2020-04-29,1246.0
2020-05-01,311.0
2020-05-03,120.0
2020-05-04,1932.0
2020-05-05,3000.0
2020-05-06,3800.0
2020-05-07,950.0
2020-05-08,9.0
2020-05-11,88.0
2020-05-12,190.0
2020-05-13,745.0
2020-05-14,255.0
2020-05-15,1036.0
2020-05-18,4200.0
2020-05-19,519.0
2020-05-20,2173.0
2020-05-21,488.0
2020-05-26,737.0
2020-05-27,212.0
2020-05-28,545.0
2020-05-29,94.0
2020-06-01,1774.0
2020-06-02,66.0
2020-06-03,182.0
2020-06-04,89.0
2020-06-05,64.0
2020-06-11,3.0
2020-06-12,288.0
2020-06-16,1974.0
2020-06-17,40.0
2020-06-22,715.0
2020-06-23,526.0
2020-06-24,174.0
2020-06-29,530.0
2020-06-30,17.0
2020-07-09,100.0
2020-07-14,300.0
2020-07-15,60.0
2020-07-20,22.0
2020-07-21,960.0
2020-07-23,64.0
2020-07-27,425.0
2020-07-28,180.0
2020-07-30,87.0
2020-08-06,75.0
2020-08-07,150.0
2020-08-08,20.0
2020-08-11,250.0
2020-08-19,8.0
2020-08-26,1000.0
2020-08-31,350.0
2020-09-01,22.0
2020-09-09,30.0
2020-09-11,240.0
2020-09-29,47.0
2020-10-14,90.0
2020-10-29,20.0
2020-11-09,30.0
2020-11-17,154.0
2020-11-19,5.0
2020-12-16,120.0
2021-01-13,315.0
2021-01-20,21.0
2021-01-23,180.0
2021-02-01,45.0
2021-02-03,87.0
2021-02-22,200.0
2021-04-06,160.0
2021-06-01,2434.0
2021-08-24,37.0
2021-09-14,41.0
2021-11-02,2000.0
2021-11-18,70.0
2021-12-01,900.0
2022-01-26,80.0
2022-02-03,57.0
2022-02-08,2800.0
2022-02-10,198.0
2022-02-14,119.0
2022-02-16,100.0
2022-02-21,111.0
2022-03-01,190.0
2022-03-03,100.0
2022-03-08,3100.0
2022-03-15,415.0
2022-03-17,100.0
2022-03-29,550.0
2022-03-30,59.0
2022-04-04,98.0
2022-04-07,1000.0
2022-04-08,20.0
2022-04-12,100.0
2022-04-14,44.0
2022-04-19,360.0
2022-04-20,260.0
2022-04-21,180.0
2022-04-26,369.0
2022-04-28,150.0
2022-05-01,500.0
2022-05-04,432.0
2022-05-05,362.0
2022-05-06,750.0
2022-05-09,620.0
2022-05-10,3040.0
2022-05-11,70.0
2022-05-14,400.0
2022-05-16,100.0
2022-05-17,340.0
2022-05-18,424.0
2022-05-19,600.0
2022-05-20,287.0
2022-05-21,600.0
2022-05-23,935.0
2022-05-24,300.0
2022-05-25,665.0
2022-05-26,280.0
2022-05-27,174.0
2022-05-30,600.0
2022-05-31,56.0
2022-06-01,419.0
2022-06-02,774.0
2022-06-03,44.0
2022-06-06,50.0
2022-06-07,1818.0
2022-06-08,450.0
2022-06-09,1617.0
2022-06-10,735.0
2022-06-13,339.0
2022-06-14,2169.0
2022-06-15,776.0
2022-06-16,95.0
2022-06-17,85.0
2022-06-18,150.0
2022-06-19,200.0
2022-06-20,341.0
2022-06-21,456.0
2022-06-22,358.0
2022-06-23,415.0
2022-06-24,441.0
2022-06-27,787.0
2022-06-28,628.0
2022-06-29,528.0
2022-06-30,686.0
2022-07-01,158.0
2022-07-03,150.0
2022-07-04,125.0
2022-07-05,805.0
2022-07-06,180.0
2022-07-07,330.0
2022-07-08,1156.0
2022-07-11,266.0
2022-07-12,1545.0
2022-07-13,952.0
2022-07-14,220.0
2022-07-15,187.0
2022-07-18,98.0
2022-07-19,450.0
2022-07-20,362.0
2022-07-21,379.0
2022-07-22,93.0
2022-07-24,120.0
2022-07-25,25.0
2022-07-26,1181.0
2022-07-27,939.0
2022-07-28,120.0
2022-07-29,165.0
2022-07-31,91.0
2022-08-01,58.0
2022-08-02,1094.0
2022-08-03,87.0
2022-08-04,773.0
2022-08-05,221.0
2022-08-08,1020.0
2022-08-09,1758.0
2022-08-10,77.0
2022-08-11,379.0
2022-08-12,784.0
2022-08-15,486.0
2022-08-16,97.0
2022-08-17,125.0
2022-08-18,145.0
2022-08-19,870.0
2022-08-20,13.0
2022-08-21,155.0
2022-08-23,428.0
2022-08-24,155.0
2022-08-26,20.0
2022-08-29,95.0
2022-08-30,38.0
2022-08-31,1649.0
2022-09-01,245.0
2022-09-02,23.0
2022-09-06,70.0
2022-09-07,271.0
2022-09-08,55.0
2022-09-12,11.0
2022-09-13,440.0
2022-09-14,909.0
2022-09-15,298.0
2022-09-16,230.0
2022-09-19,29.0
2022-09-20,153.0
2022-09-21,100.0
2022-09-22,110.0
2022-09-23,120.0
2022-09-27,40.0
2022-09-28,671.0
2022-09-29,40.0
2022-09-30,78.0
2022-10-04,305.0
2022-10-05,50.0
2022-10-06,2550.0
2022-10-07,120.0
2022-10-10,343.0
2022-10-11,826.0
2022-10-12,2780.0
2022-10-13,65.0
2022-10-14,400.0
2022-10-16,24.0
2022-10-18,140.0
2022-10-19,52.0
2022-10-20,314.0
2022-10-21,193.0
2022-10-23,85.0
2022-10-24,648.0
2022-10-25,197.0
2022-10-26,900.0
2022-10-27,294.0
2022-10-28,100.0
2022-10-31,355.0
2022-11-01,500.0
2022-11-02,1232.0
2022-11-03,1910.0
2022-11-04,4029.0
2022-11-06,110.0
2022-11-07,1890.0
2022-11-08,65.0
2022-11-09,12669.0
2022-11-10,1930.0
2022-11-11,160.0
2022-11-14,1336.0
2022-11-15,792.0
2022-11-16,14926.0
2022-11-17,367.0
2022-11-18,1905.0
2022-11-19,100.0
2022-11-21,993.0
2022-11-22,240.0
2022-11-24,120.0
2022-11-25,247.0
2022-11-28,1015.0
2022-11-29,60.0
2022-11-30,2960.0
2022-12-01,295.0
2022-12-02,47.0
2022-12-05,95.0
2022-12-06,810.0
2022-12-07,1401.0
2022-12-08,1152.0
2022-12-09,280.0
